n,beta1,se_hc1,p_hc1,ci_low,ci_high,r2,excluded_ticker,excluded_group
40,-0.035937805274380764,0.10079594884866173,0.7214360706528428,-0.23349786501775777,0.16162225446899625,0.42264902293194984,NVDA,AI_infra
40,0.014558795239769662,0.11237616505504291,0.8969192036858851,-0.20569848826811446,0.23481607874765378,0.43157120469601085,AMD,AI_infra
40,-0.02658295601331282,0.1098096231172445,0.8087164642750411,-0.24180981732311202,0.1886439052964864,0.4626073553079362,AVGO,AI_infra
40,0.01503568448802202,0.11571045246708163,0.8966120626477126,-0.21175680234745797,0.24182817132350198,0.4474039574323856,TSM,AI_infra
40,0.004385966247118386,0.111320367310445,0.9685718825881939,-0.2138019536813538,0.2225738861755906,0.4543693478178107,ASML,AI_infra
40,0.009439406242518725,0.1119267900936918,0.9327896564962694,-0.20993710234111718,0.22881591482615465,0.4528792709879176,AMAT,AI_infra
40,0.007998565688019432,0.11344856235417596,0.9437925993835633,-0.21436061652616545,0.2303577479022043,0.44406055700375946,LRCX,AI_infra
40,-0.01984753503355252,0.109408934529472,0.8560482077054629,-0.23428904671131762,0.19459397664421257,0.4643761137153667,KLAC,AI_infra
40,0.008748699240162014,0.11222508518399749,0.937862482751939,-0.21121246772047303,0.22870986620079709,0.45130819514299003,MU,AI_infra
40,-0.01975582166722248,0.1146690148166493,0.8632129933183416,-0.24450709070785512,0.20499544737341016,0.4544684293699477,MRVL,AI_infra
40,0.015691755859219184,0.0943046527017938,0.8678466661590888,-0.16914536343629666,0.20052887515473505,0.5072663889665525,SMCI,AI_infra
40,-0.006915455171697879,0.11355848630029107,0.9514406493387081,-0.22949008832026835,0.21565917797687262,0.46179737373696617,MSFT,AI_platforms
40,0.018721807561450074,0.11285844132764941,0.8682454646989003,-0.20248073744074274,0.23992435256364292,0.451156668395158,GOOGL,AI_platforms
40,0.01254919047948029,0.11200764041427744,0.9107927211607372,-0.2069857847325035,0.23208416569146406,0.44693827602884906,AMZN,AI_platforms
40,0.06302455760115892,0.11173538980533053,0.5727188196114236,-0.1559768064172889,0.28202592161960677,0.5130005052179389,META,AI_platforms
40,-0.008097244065527719,0.11232053683343735,0.9425298835878814,-0.22824549625906493,0.21205100812800948,0.4558788244727051,ORCL,AI_platforms
40,0.02330656950244986,0.11420668100313981,0.8382959777380682,-0.20053852526370416,0.24715166426860388,0.45244095350666325,CRM,AI_platforms
40,0.016547311282934678,0.11573127495804554,0.886305610875068,-0.21028598763483458,0.24338061020070395,0.445039600651269,NOW,AI_platforms
40,0.010387960749855114,0.11365919442265832,0.9271781845466733,-0.21238406031855517,0.23315998181826542,0.44728974793179366,ADBE,AI_platforms
40,0.08123355391685043,0.12203247894817079,0.5056210383930213,-0.1579501048215643,0.3204172126552652,0.4424190985746723,IBM,AI_platforms
40,0.03275581678750072,0.1181875817960606,0.7816640956891763,-0.19889184353277806,0.2644034771077795,0.5507051644255343,SNOW,AI_platforms
40,0.02607562346381334,0.11572721762782065,0.821730565166353,-0.20074972308671513,0.2529009700143418,0.4497781233211924,AAPL,Broad_tech
40,0.014393026232086055,0.11298437977682242,0.8986321082162954,-0.2070563581304859,0.235842410594658,0.44133765722744056,CSCO,Broad_tech
40,0.018010846349444422,0.11252806565936849,0.872836581236409,-0.2025441623429178,0.23856585504180663,0.44793138305307933,INTC,Broad_tech
40,0.012083090641587725,0.11215447475233412,0.914204997605081,-0.20773967987298714,0.23190586115616257,0.44592071650997844,TXN,Broad_tech
40,0.01236735768237672,0.11235820637537469,0.9123532254995762,-0.20785472681335765,0.23258944217811112,0.4736979748768708,QCOM,Broad_tech
40,0.02952509362130519,0.11436038854556675,0.7962711742461768,-0.19462126792800566,0.253671455170616,0.4548457900262979,INTU,Broad_tech
40,0.018849204233588684,0.12213583607130268,0.8773496689865362,-0.22053703446616457,0.25823544293334194,0.4432881823861803,ACN,Broad_tech
40,0.03181585820677908,0.1265209777300218,0.8014530269717107,-0.21616525814406362,0.2797969745576218,0.45078950289931674,PANW,Broad_tech
40,0.008487364047880322,0.11251085151073366,0.9398678490915565,-0.21203390491315766,0.22900863300891827,0.44671507913179553,CDNS,Broad_tech
40,0.03866786106482646,0.11426826119277718,0.7350651932628781,-0.18529793087301683,0.2626336530026697,0.47507412545685057,ADSK,Broad_tech
40,0.012283456000453628,0.11194648706066862,0.9126265682348065,-0.20713165863845687,0.23169857063936414,0.43358126627639637,KO,Defensive
40,0.011964450296146553,0.111990287015349,0.9149201071911155,-0.2075365122539375,0.23146541284623057,0.4385652218786956,PEP,Defensive
40,0.01418650540031298,0.11528628646162353,0.9020638788518633,-0.21177461606446912,0.2401476268650951,0.4361770652631799,PG,Defensive
40,0.01204280293366862,0.1125333783895604,0.9147767735362182,-0.20852261870986977,0.23260822457720698,0.43570185753474144,WMT,Defensive
40,0.01194276773124451,0.11232162109608847,0.9153232864195417,-0.2082076096170889,0.2320931450795779,0.42410015085954667,JNJ,Defensive
40,0.011772280590957425,0.11393807122042333,0.9177076162182846,-0.2115463390010723,0.23509090018298714,0.4396490145784371,MRK,Defensive
40,0.02127017413966853,0.11344095838523018,0.8512686620960931,-0.2010741042953826,0.24361445257471967,0.4452530817671063,MCD,Defensive
40,-0.0034162892090417313,0.11363135327315954,0.976015476741774,-0.22613374162443445,0.21930116320635096,0.439808436155979,COST,Defensive
40,0.01585643977339221,0.11550325266854143,0.8908084297582801,-0.21052993545694898,0.2422428150037334,0.4364457943118373,CL,Defensive
40,0.013652223012211154,0.11385696352349992,0.9045569856658946,-0.20950742549384865,0.236811871518271,0.4396706148063214,GIS,Defensive
