group,n,W,p,normal
AI_infra,11,0.9305938817642635,0.4168925948780067,True
AI_platforms,10,0.9550223620834478,0.7279688143248308,True
Broad_tech,10,0.9571875205425964,0.7533897359566772,True
Defensive,10,0.9552567304173016,0.7307323463500774,True
