group,n,W,p,normal
AI_infra,11,0.953354808394858,0.6870184188506119,True
AI_platforms,10,0.9383669465040889,0.5349892913735621,True
Broad_tech,10,0.9120888808987799,0.29564988497338707,True
Defensive,10,0.9680708581061919,0.8724049715766286,True
