ticker,group,ann_return,ann_vol,sharpe,sortino,max_dd,beta,alpha,n_obs
NVDA,AI_infra,0.5414348499727103,0.5092022986517852,0.9997474632293645,1.0179416229327878,-0.663350889832159,2.1121974740102365,0.2694375900882134,1346
AMD,AI_infra,0.2964719239821719,0.5367122669904382,0.4920249602155301,0.5148913103477645,-0.6544994295506879,2.0425320302151584,0.03237687401973899,1346
AVGO,AI_infra,0.4576005453224206,0.4183441467292992,1.0164608647450653,1.0714357163746657,-0.4114967673858134,1.6227080744089641,0.24112648000268203,1346
TSM,AI_infra,0.26317204435851443,0.37507679356027085,0.6153351380941178,0.6435726321048498,-0.5646656540528951,1.3897159469545974,0.07312647214862382,1346
ASML,AI_infra,0.22504497314084176,0.42168829846735045,0.4568362271178979,0.45083999985508955,-0.5686183532718804,1.7510030546152804,-0.005981699760347384,1346
AMAT,AI_infra,0.3123149134910724,0.4443815230824153,0.6299000856901324,0.6176633757424469,-0.5513919757867267,1.8216701169837648,0.07327241623004764,1346
LRCX,AI_infra,0.353782821741307,0.46445484355464306,0.6919840930433449,0.6954415652253585,-0.5639315041349253,1.9192345456052298,0.10367350922879404,1346
KLAC,AI_infra,0.38176709584938145,0.43525670300905434,0.8026819532644864,0.780413558719625,-0.4028337811410603,1.793012440152198,0.1459752629904645,1346
MU,AI_infra,0.4445475038355554,0.5087972279836757,0.8100825568770914,0.8282315125192846,-0.5762897149347648,1.7992058226748766,0.2080531503845668,1346
MRVL,AI_infra,0.2606879413430901,0.5801302486285473,0.39350463337459207,0.39532108622588774,-0.6187946561010984,2.2438945996569233,-0.0262478343434996,1346
SMCI,AI_infra,0.4426667349116558,0.8187111581598162,0.5011122462368839,0.5080903000773376,-0.8484096025557226,1.8967768239829026,0.1951048206638109,1346
MSFT,AI_platforms,0.12642598725756693,0.26199922171410833,0.3588574440664099,0.3539656215729,-0.37148491383837634,1.12994683464601,-0.034153755914201306,1346
GOOGL,AI_platforms,0.2891563251338089,0.3108075124799742,0.8260952043973625,0.825387051773468,-0.44320044931268343,1.2576355997952233,0.11409273786472493,1346
AMZN,AI_platforms,0.09680944592498054,0.34808542042574575,0.1850367721103044,0.1817972430187022,-0.561452632532826,1.466542249802907,-0.10195059847616174,1346
META,AI_platforms,0.15736194210987114,0.4365175977494836,0.2862930401078435,0.27443238504696355,-0.767360944566467,1.5824057930796,-0.05454060151914907,1346
ORCL,AI_platforms,0.2240858194779137,0.39251808925290516,0.4883521974893157,0.5130789896412828,-0.582498569954027,1.1231997699244942,0.0642714015360256,1346
CRM,AI_platforms,-0.04849031463454079,0.3619434336598735,-0.22353075154476648,-0.21092774528499222,-0.5861724398365199,1.2563176648243322,-0.22340440743066559,1346
NOW,AI_platforms,-0.028474526048648332,0.4220830636161508,-0.14425429671062254,-0.13295962370294812,-0.6454173439572125,1.4681717533933496,-0.22741940641349045,1346
