n,beta1,se_hc1,p_hc1,ci_low,ci_high,r2,y_window,model
41,0.1446634944319749,0.06227925076289266,0.02018881973081508,0.022596162936705286,0.2667308259272445,0.1297684015378544,ar_3m,M1
41,0.012205744241361775,0.05606408419017328,0.8276546203795713,-0.09767986077137786,0.1220913492541014,0.4363733180824838,ar_3m,M3
41,0.2594243826398249,0.12895270872219045,0.044243213033189566,0.006677073544331669,0.5121716917353182,0.09449874302342043,ar_6m,M1
41,0.012778418091398035,0.11166082196278945,0.9088893360565089,-0.20607679295566927,0.23163362913846536,0.4473193558987485,ar_6m,M3
41,0.5286115054718705,0.14030923861314146,0.00016490725267806662,0.25360539779011326,0.8036176131536278,0.24334524152086157,ar_12m,M1
41,0.2540780873804953,0.11783977216147971,0.03107337018799269,0.023112133943995083,0.48504404081699554,0.504806773374434,ar_12m,M3
