n,beta1,se_hc1,p_hc1,ci_low,ci_high,r2,x_main,model
41,0.2594243826398249,0.12895270872219045,0.044243213033189566,0.006677073544331669,0.5121716917353182,0.09449874302342043,ai_exposure_det_main,M1
41,0.012778418091398035,0.11166082196278945,0.9088893360565089,-0.20607679295566927,0.23163362913846536,0.4473193558987485,ai_exposure_det_main,M3
41,0.28740817028679055,0.12480044600636606,0.021282114953100784,0.0427992961143131,0.532017044459268,0.1159852245680788,ai_exposure_det_main_gpu,M1
41,0.018910113333687383,0.1151748430418938,0.8695846087840213,-0.20683257902842447,0.24465280569579925,0.44748972865208514,ai_exposure_det_main_gpu,M3
41,0.30974435050812765,0.1285185540481388,0.01594754198199511,0.0578479845737756,0.5616407164424797,0.13395883833717792,ai_exposure_det_main_no_automation,M1
41,0.04422397675678896,0.1189326192981411,0.7100115316927029,-0.18888395706756758,0.2773319105811455,0.44880967209849487,ai_exposure_det_main_no_automation,M3
41,0.2009019610116957,0.36797099676598394,0.585084997610724,-0.5203211926496328,0.9221251146730242,0.015100775585203285,ai_exposure_det_extended,M1
41,0.08674798602475038,0.30640373161697454,0.7770874487442749,-0.5138033279445197,0.6872992999940205,0.4498835066772541,ai_exposure_det_extended,M3
34,0.3917120561405648,0.1608282181334039,0.014867408934023657,0.07648874859909316,0.7069353636820365,0.10895698671705167,ai_exposure_llm,M1
34,0.3787807002239358,0.12387711213856463,0.002230328074734162,0.1359815604323491,0.6215798400155225,0.4813281013758064,ai_exposure_llm,M3
41,0.34690268424897375,0.09229215330841667,0.00017076766320124064,0.16601006376447708,0.5277953047334705,0.18989956859743817,ai_exposure_llm_missing0,M1
41,0.1760604509554376,0.08606362953814353,0.040785799655773856,0.007375737060676291,0.3447451648501989,0.4830816330095039,ai_exposure_llm_missing0,M3
