n,beta1,se_hc1,p_hc1,ci_low,ci_high,r2,scaling,model
41,0.2594243826398249,0.12895270872219045,0.044243213033189566,0.006677073544331669,0.5121716917353182,0.09449874302342043,ai_exp_pct,M1
41,0.012778418091398035,0.11166082196278945,0.9088893360565089,-0.20607679295566927,0.23163362913846536,0.4473193558987485,ai_exp_pct,M3
41,0.07716381290906264,0.04977153603248754,0.12105506467900612,-0.020388397714612927,0.1747160235327382,0.09841726971735809,ai_exp_zscore,M1
41,0.014650624798749751,0.04393217559152793,0.7387698729401575,-0.07145643936064498,0.10075768895814448,0.4499289616870291,ai_exp_zscore,M3
41,0.14376581577409786,0.07097468840752645,0.04280653293179715,0.004655426495346032,0.2828762050528497,0.11016522079731028,ai_exp_log,M1
41,0.01931355474848273,0.06203659860710606,0.7555534327678357,-0.10227817852144513,0.1409052880184106,0.44855518207101785,ai_exp_log,M3
41,0.05100044376504202,0.0328958656762608,0.12105506467900616,-0.013475452960429152,0.1154763404905132,0.0984172697173582,ai_exp_raw,M1
41,0.009683144702192548,0.02903641443136262,0.7387698729401575,-0.04722822758327819,0.06659451698766328,0.449928961687029,ai_exp_raw,M3
