,ai_exposure_det_main,beta_pre,vol_pre,momentum_12m_pre,log_market_cap,ar_6m
ai_exposure_det_main,1.0,0.4954450778123293,0.47549494008207016,-0.49167717722152626,0.029091142946441825,0.3074064784994302
beta_pre,0.4954450778123293,1.0,0.9253588291011263,-0.7026338472016983,0.14871776012092838,0.6144770450771919
vol_pre,0.47549494008207016,0.9253588291011263,1.0,-0.634240984888684,-0.016356476107149447,0.6622875411911748
momentum_12m_pre,-0.49167717722152626,-0.7026338472016983,-0.634240984888684,1.0,-0.2975684096910258,-0.3558189563902694
log_market_cap,0.029091142946441825,0.14871776012092838,-0.016356476107149447,-0.2975684096910258,1.0,0.2216769733224355
ar_6m,0.3074064784994302,0.6144770450771919,0.6622875411911748,-0.3558189563902694,0.2216769733224355,1.0
