n,mean_diff,sd_diff,se_diff,ci_low,ci_high,cohen_dz,shapiro_W,shapiro_p,normal_diffs,t_stat,t_p_value,wilcoxon_stat,wilcoxon_p_value,main_test,main_stat,main_p_value,window_sessions,event_date,analysis
21,-0.00176519802930243,0.0071410387699388156,0.0015583024144694745,-0.005015759905671895,0.0014853638470670347,-0.2471906519725497,0.9357723807471463,0.17958740522104408,True,-1.1327698737496938,0.270708878831604,74.0,0.1571340560913086,Paired t-test,-1.1327698737496938,0.270708878831604,30,2022-11-30,event
21,0.0014692451950301891,0.0037458744792301544,0.0008174168259464509,-0.0002358564250741907,0.003174346815134569,0.39223022639352983,0.8603713940827041,0.006443651211728674,False,1.7974247022980163,0.08738502782908039,64.0,0.07598018646240234,Wilcoxon signed-rank,64.0,0.07598018646240234,60,2022-11-30,event
21,0.002428105158426317,0.002636031258732443,0.0005752291798767211,0.001228198115402756,0.0036280122014498784,0.9211215346489825,0.8901757450032473,0.02267157249382686,False,4.221109156782851,0.0004194964364428565,13.0,8.392333984375e-05,Wilcoxon signed-rank,13.0,8.392333984375e-05,120,2022-11-30,event
21,0.0023126478265031725,0.0019323834445280784,0.0004216806383918771,0.0014330374283979823,0.0031922582246083626,1.1967851582727471,0.9253584272118685,0.11109550318233871,True,5.484358578384569,2.2812991807591182e-05,7.0,1.811981201171875e-05,Paired t-test,5.484358578384569,2.2812991807591182e-05,250,2022-11-30,event
21,-0.0038492111982132717,0.00629582004747513,0.0013738605680654883,-0.006715034124837796,-0.0009833882715887471,-0.6113915533143225,0.926768652851018,0.11857083346480687,True,-2.8017480723195116,0.011014408740603004,35.0,0.0037527084350585938,Paired t-test,-2.8017480723195116,0.011014408740603004,30,2021-11-30,placebo
21,-0.0029029975279615044,0.00343974400708661,0.0007506136801783385,-0.004468750227831228,-0.0013372448280917805,-0.8439574346174329,0.9475004641904506,0.3052666932950466,True,-3.86749882745513,0.0009588754009087641,18.0,0.00024127960205078125,Paired t-test,-3.86749882745513,0.0009588754009087641,60,2021-11-30,placebo
21,-0.0025965725018510053,0.003340762107139184,0.000729014058800261,-0.004117269181051277,-0.0010758758226507333,-0.7772395694689391,0.9442433971877164,0.2640204810988794,True,-3.5617591602063015,0.001954362300455998,27.0,0.0011758804321289062,Paired t-test,-3.5617591602063015,0.001954362300455998,120,2021-11-30,placebo
21,-0.0015599746359336566,0.002025084637907624,0.0004419096972335203,-0.002481782111355105,-0.0006381671605122083,-0.770325647991418,0.9447288373168969,0.2698321209428808,True,-3.53007559168658,0.002103358181015175,33.0,0.002857208251953125,Paired t-test,-3.53007559168658,0.002103358181015175,250,2021-11-30,placebo
