ticker,mean_A_before,mean_B_after,diff_B_minus_A,window_sessions
NVDA,-0.0007664811631927837,0.0048334020981471125,0.005599883261339896,120
AMD,-0.002106659129993033,0.002676870839601578,0.004783529969594611,120
AVGO,-0.0001477495585547408,0.001751733778291174,0.0018994833368459149,120
TSM,-0.0009378753183459909,0.0006490988831859309,0.001586974201531922,120
ASML,0.0007818486950572748,0.0007077229143986559,-7.412578065861888e-05,120
AMAT,-9.872228002100776e-05,0.0008135049292209449,0.0009122272092419527,120
LRCX,-0.0005981359860669102,0.001463421948421619,0.002061557934488529,120
KLAC,0.0008788277011928094,0.0002751316368768954,-0.0006036960643159141,120
MU,-0.0013268984701843062,0.0011143978998157424,0.0024412963700000487,120
MRVL,-0.002020043740159851,-0.0001627779401163847,0.0018572658000434662,120
SMCI,0.004746429208716644,0.005037788203642284,0.0002913589949256404,120
MSFT,-0.0005909926788726919,0.001636330418034344,0.002227323096907036,120
GOOGL,-0.001349793679205332,0.001374834099390782,0.002724627778596114,120
AMZN,-0.0018077276716735517,0.001467278720026909,0.0032750063917004607,120
META,-0.004379108151927325,0.006112618411444648,0.010491726563371974,120
ORCL,0.001326052421043939,0.0013289628357004465,2.9104146565075463e-06,120
CRM,-0.001422199153738911,0.0020953461675372377,0.0035175453212761484,120
NOW,-0.0015150105566134858,0.0014583667887841446,0.0029733773453976303,120
ADBE,-0.0018387757642825099,0.000369085021989519,0.0022078607862720287,120
IBM,0.0006091334644527168,-0.0013593536173517897,-0.0019684870818045064,120
SNOW,0.0006953848090058413,0.0016953083604239437,0.0009999235514181024,120
