ticker,mean_A_before,mean_B_after,diff_B_minus_A,window_sessions
NVDA,-0.0012035274261012695,0.004781232494681893,0.0059847599207831625,120
AMD,-0.0024746142627503475,0.0026329485480775772,0.005107562810827925,120
AVGO,-0.00027589500475320983,0.001736437234923985,0.0020123322396771947,120
TSM,-0.001015670577018117,0.0006398125715506594,0.0016554831485687763,120
ASML,0.00047089809210644576,0.0006706051741730349,0.00019970708206658918,120
AMAT,-0.00041006564079989344,0.0007763403060406199,0.0011864059468405133,120
LRCX,-0.0009056652385960979,0.001426712610028849,0.002332377848624947,120
KLAC,0.0006091675175316821,0.0002429426764717938,-0.0003662248410598883,120
MU,-0.0015288802129128454,0.0010902876206081427,0.002619167833520988,120
MRVL,-0.0024207072101171474,-0.0002106045802793002,0.002210102629837847,120
SMCI,0.004612572199663306,0.005021809878975051,0.00040923767931174467,120
MSFT,-0.0006811763910873163,0.0016255653139605822,0.0023067417050478987,120
GOOGL,-0.0014725431838435272,0.0013601816620494576,0.002832724845892985,120
AMZN,-0.0019973591247743274,0.0014446426776844711,0.0034420018024587983,120
META,-0.004621373456353998,0.0060836995396043765,0.010705072995958374,120
ORCL,0.0013784847447637456,0.0013352216091287307,-4.326313563501492e-05,120
CRM,-0.0015810672714951408,0.0020763823016722097,0.0036574495731673505,120
NOW,-0.0017548398965822145,0.0014297386946271798,0.0031845785912093943,120
ADBE,-0.002004551309573737,0.00034929662612378224,0.0023538479356975195,120
IBM,0.0007918913878040189,-0.001337538058678632,-0.0021294294464826507,120
SNOW,0.00032105383270095524,0.0016506249933391551,0.0013295711606381999,120
